Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How anxious did you feel yesterday?,4. How satisfied are you with Somerville as a place to live?,5. How satisfied are you with your neighborhood?,6. How proud are you to be a Somerville resident?,7a. How would you rate the availability of information about city services?,7b. How would you rate the cost of housing?,7c. How would you rate the overall quality of public schools?,7d. How would you rate your trust in the local police?,7e. How would you rate the maintenance of streets and sidewalks?,7f. How would you rate the availability of social community events?,8. How satisfied are you with the quality and number of transportation options available to you?,9. How safe do you feel walking in your neighborhood at night?,10. How satisfied are you with the appearance of parks and squares in your neighborhood?,11. How satisfied are you with the beauty or physical setting of your neighborhood?,1. What is your gender,2. Age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you have children age 18 or younger who live with you?,6. Describe your housing status in Somerville.,7. Do you plan to move away from Somerville in the next two years?,8 How long have you lived here?,9. What is your annual household income?,10. Are you a student?
English,10.0,9.0,7.0,10.0,10.0,10.0,4.0,4.0,4.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,Male,Blank,English,White,False,Rent,True,1-3 years,"$150,000 or more",False
English,3.0,3.0,4.0,5.0,5.0,10.0,0.0,1.0,3.0,4.0,4.0,4.0,1.0,9.0,7.0,2.0,Female,45-54,English,White,False,Rent,True,21 years or more,Blank,False
Spanish,10.0,10.0,9.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,Female,65-74,Spanish,Hispanic/Latino,False,Rent,False,11-15 years,"$10,000 to $24,999",False
English,8.0,8.0,8.0,10.0,10.0,10.0,5.0,1.0,3.0,5.0,5.0,5.0,10.0,10.0,9.0,9.0,Male,55-64,English,White,False,Own,False,21 years or more,"$150,000 or more",False
English,8.0,8.0,8.0,8.0,8.0,6.0,5.0,2.0,4.0,3.0,3.0,5.0,9.0,8.0,9.0,8.0,Female,35-44,English,White,False,Rent,False,1-3 years,Blank,True
English,10.0,10.0,10.0,10.0,10.0,10.0,5.0,3.0,4.0,5.0,4.0,5.0,10.0,7.0,8.0,8.0,Female,25-34,English,White,False,Own,False,4-7 years,"$150,000 or more",False
English,9.0,10.0,8.0,10.0,7.0,8.0,3.0,2.0,3.0,4.0,5.0,5.0,8.0,8.0,6.0,8.0,Female,25-34,English,White,False,Rent,False,4-7 years,"$100,000 to $149,999",False
English,9.0,8.0,9.0,9.0,8.0,5.0,4.0,1.0,3.0,4.0,2.0,5.0,6.0,10.0,8.0,6.0,Male,35-44,English,White,False,Rent,True,4-7 years,"$150,000 or more",False
English,8.0,8.0,9.0,9.0,9.0,9.0,4.0,3.0,3.0,4.0,3.0,4.0,10.0,9.0,10.0,7.0,Female,55-64,English,Italian/Turkish;Scottish/Irish,False,Own,False,21 years or more,"$50,000 to 74,999",False
English,10.0,10.0,10.0,8.0,6.0,5.0,5.0,5.0,0.0,5.0,3.0,5.0,8.0,8.0,10.0,8.0,Female,35-44,English,White,False,Own,Blank,4-7 years,"$150,000 or more",False
English,1.0,7.0,7.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,Male,45-54,English,White,False,Rent,True,16-20 years,"$100,000 to $149,999",False
