Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How anxious did you feel yesterday?,4. How satisfied are you with Somerville as a place to live?,5. How satisfied are you with your neighborhood?,6. How proud are you to be a Somerville resident?,7a. How would you rate the availability of information about city services?,7b. How would you rate the cost of housing?,7c. How would you rate the overall quality of public schools?,7d. How would you rate your trust in the local police?,7e. How would you rate the maintenance of streets and sidewalks?,7f. How would you rate the availability of social community events?,8. How satisfied are you with the quality and number of transportation options available to you?,9. How safe do you feel walking in your neighborhood at night?,10. How satisfied are you with the appearance of parks and squares in your neighborhood?,11. How satisfied are you with the beauty or physical setting of your neighborhood?,1. What is your gender,2. Age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you have children age 18 or younger who live with you?,6. Describe your housing status in Somerville.,7. Do you plan to move away from Somerville in the next two years?,8 How long have you lived here?,9. What is your annual household income?,10. Are you a student?
English,10,9,7,10,10,10,4,4,4,5,5,5,10,10,10,10,Male,,English,White,false,Rent,true,1-3 years,"$150,000 or more",false
English,3,3,4,5,5,10,,1,3,4,4,4,1,9,7,2,Female,45-54,English,White,false,Rent,true,21 years or more,,false
Spanish,10,10,9,10,10,10,5,5,5,5,5,5,10,10,10,10,Female,65-74,Spanish,Hispanic/Latino;Puertoriquena,false,Rent,false,11-15 years,"$10,000 to $24,999",false
English,8,8,8,10,10,10,5,1,3,5,5,5,10,10,9,9,Male,55-64,English,White,false,Own,false,21 years or more,"$150,000 or more",false
English,8,8,8,8,8,6,5,2,4,3,3,5,9,8,9,8,Female,35-44,English,White,false,Rent,false,1-3 years,,true
English,10,10,10,10,10,10,5,3,4,5,4,5,10,7,8,8,Female,25-34,English,White,false,Own,false,4-7 years,"$150,000 or more",false
English,9,10,8,10,7,8,3,2,3,4,5,5,8,8,6,8,Female,25-34,English,White,false,Rent,false,4-7 years,"$100,000 to $149,999",false
English,9,8,9,9,8,5,4,1,3,4,2,5,6,10,8,6,Male,35-44,English,White,false,Rent,true,4-7 years,"$150,000 or more",false
English,8,8,9,9,9,9,4,3,3,4,3,4,10,9,10,7,Female,55-64,English,Italian/Turkish Scottich/Irish,false,Own,false,21 years or more,"$50,000 to 74,999",false
English,10,10,10,8,6,5,5,5,,5,3,5,8,8,10,8,Female,35-44,English,White,false,Own,,4-7 years,"$150,000 or more",false
English,1,7,7,1,3,2,2,1,2,2,2,2,3,2,4,4,Male,45-54,English,White,false,Rent,true,16-20 years,"$100,000 to $149,999",false
English,6,5,6,1,3,9,3,1,2,3,1,3,1,3,6,5,Male,65-74,English,White,true,Own,,21 years or more,"$25,000 to $49,999",false
English,6,7,7,8,8,8,4,2,3,4,4,4,8,8,8,8,Female,25-34,English,White,false,Rent,true,1-3 years,,false
English,10,9,10,10,10,10,5,5,5,5,5,5,10,10,10,10,,65-74,English;Russian,White,false,Rent,false,8-10 years,"$10,000 to $24,999",false
English,7,9,9,9,9,10,5,1,4,4,2,5,6,7,8,10,,65-74,English,,false,Own,false,21 years or more,"$25,000 to $49,999",false
English,10,10,10,9,8,9,5,2,2,5,2,4,9,8,6,5,Male,25-34,English,White,true,Own,true,Less than a year,"$150,000 or more",false
English,10,10,7,10,10,10,5,3,,3,4,5,10,10,10,10,Female,25-34,English,White,false,Rent,false,4-7 years,"$50,000 to 74,999",false
English,7,7,8,7,7,9,5,3,3,4,4,5,7,9,8,8,Male,35-44,English,White,false,Own,false,4-7 years,"$150,000 or more",false
English,10,10,10,10,10,8,5,3,4,3,4,5,9,10,10,9,Male,35-44,,Hispanic/Latino,false,Own,false,Less than a year,"$150,000 or more",false
English,10,10,10,10,10,10,5,5,5,5,5,5,6,10,10,10,Male,65-74,English,White,false,Own,false,21 years or more,"$75,000 to $99,999",false
English,9,8,9,9,9,9,4,2,3,4,4,4,9,10,9,9,Male,25-34,English,White,false,Rent,false,4-7 years,"$75,000 to $99,999",false
English,6,8,2,6,7,7,,2,,3,2,4,7,9,8,8,Male,25-34,English,Hispanic/Latino;White;Middle Eastern,false,Rent,false,8-10 years,"$75,000 to $99,999",false
English,9,9,9,7,9,9,2,1,,2,2,,4,10,9,9,Male,35-44,English,Irish,false,Rent,false,21 years or more,"$75,000 to $99,999",false
English,7,7,5,8,8,9,4,2,4,3,3,5,7,7,7,6,Female,35-44,English,White,false,Rent,false,4-7 years,"$75,000 to $99,999",false
English,7,6,5,8,9,8,4,1,3,5,3,5,3,6,8,8,Female,25-34,English,White,false,Rent,true,4-7 years,"$50,000 to 74,999",false
,8,7,7,6,6,8,3,2,3,4,3,4,6,9,3,3,Female,25-34,English,White,false,Own,false,4-7 years,"$75,000 to $99,999",false
English,8,8,9,9,9,10,3,1,2,4,3,4,4,7,7,5,Male,55-64,English,White,true,Rent,false,21 years or more,"$75,000 to $99,999",false
English,5,5,5,7,9,9,5,1,5,5,5,5,6,6,7,7,Female,65-74,English,White,false,Own,false,21 years or more,"$75,000 to $99,999",true
,10,8,7,10,10,10,3,2,3,5,5,5,10,6,7,8,Female,18-24,English,White,false,Rent,false,1-3 years,"$50,000 to 74,999",false
English,7,8,6,7,5,8,3,2,3,3,3,3,4,4,1,1,Male,45-54,English,White,true,Own,false,4-7 years,"$100,000 to $149,999",false
English,7,6,8,8,9,6,5,4,3,3,5,4,10,8,10,9,Male,25-34,English,White,false,Rent,true,1-3 years,"$25,000 to $49,999",false
English,8,7,6,7,4,6,3,1,,,3,5,5,6,6,2,Male,25-34,English,White,false,Rent,false,1-3 years,"$100,000 to $149,999",false
English,7,9,6,9,9,8,,2,3,3,3,5,9,9,9,9,Female,25-34,English,White,false,Rent,false,Less than a year,"$75,000 to $99,999",true
English,7,7,7,8,5,6,4,3,4,2,,,3,5,8,2,Male,25-34,English,White,false,Rent,false,4-7 years,"$75,000 to $99,999",true
English,8,9,4,9,9,8,4,2,3,3,2,5,9,9,10,9,Male,25-34,English,White,true,Own,false,4-7 years,,false
English,5,7,9,2,3,8,3,1,2,2,2,4,10,10,7,6,Female,35-44,English,White,true,Rent,,21 years or more,"$25,000 to $49,999",false
English,8,8,8,8,8,8,4,4,2,2,2,4,9,9,8,8,Female,65-74,,Asian,false,Own,false,16-20 years,"$150,000 or more",false
English,5,4,5,4,4,6,4,1,3,3,1,3,1,6,4,3,Male,65-74,English,White,false,Own,,21 years or more,"$50,000 to 74,999",false
Spanish,10,10,10,10,10,10,5,1,5,5,5,5,10,10,10,10,Female,35-44,,Hispanic/Latino,true,Rent,false,11-15 years,"$10,000 to $24,999",false
